reachID,zoneID,len,downstreamZoneID,Cqinput,lateralBaseFrac,lateralStormFrac,hydraulicTable,exchangeRate,TransientStorageSize_m3,hourly_PAR,hourly_degree,daily_detritus
1,1,20,2,DRKR2SLB_qnp_bias.csv,0.8738763,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,2,20,3,DRKR2SLB_qnp_bias.csv,0.002135489,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,3,18.04737854,4,DRKR2SLB_qnp_bias.csv,0.002005667,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,4,21.38071187,5,DRKR2SLB_qnp_bias.csv,0.00226535,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,5,20,6,DRKR2SLB_qnp_bias.csv,0.00184691,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,6,20,7,DRKR2SLB_qnp_bias.csv,0.001991198,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,7,20,8,DRKR2SLB_qnp_bias.csv,0.099184765,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
1,8,20,9,DRKR2SLB_qnp_bias.csv,0.001846909,0,channelZone3_ratingTable1.csv,,,unrestored_PAR.csv,unrestored_degree.csv,unrestored_daily_detritus.csv
2,9,11.38071187,10,DRKR2SLB_qnp_bias.csv,0.000649304,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
2,10,3.333333333,11,DRKR2SLB_qnp_bias.csv,0.000202006,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,11,9.999999999,12,DRKR2SLB_qnp_bias.csv,0.001125461,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,12,3.333333333,13,DRKR2SLB_qnp_bias.csv,0.000447298,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,13,11.38071187,14,DRKR2SLB_qnp_bias.csv,0.000663733,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,14,4.714045208,15,DRKR2SLB_qnp_bias.csv,8.66E-05,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,15,9.999999999,16,DRKR2SLB_qnp_bias.csv,0.000995599,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,16,4.714045208,17,DRKR2SLB_qnp_bias.csv,0.000101003,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,17,11.38071187,18,DRKR2SLB_qnp_bias.csv,0.00085131,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,18,4.714045208,19,DRKR2SLB_qnp_bias.csv,0.000649304,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,19,9.999999999,20,DRKR2SLB_qnp_bias.csv,0.000750307,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,20,4.714045208,21,DRKR2SLB_qnp_bias.csv,0.000476156,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,21,9.999999999,22,DRKR2SLB_qnp_bias.csv,0.00077912,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,22,4.714045208,23,DRKR2SLB_qnp_bias.csv,0.000245293,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,23,12.76142375,24,DRKR2SLB_qnp_bias.csv,0.001139901,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,24,3.333333333,25,DRKR2SLB_qnp_bias.csv,4.33E-05,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,25,14.14213562,26,DRKR2SLB_qnp_bias.csv,0.00112546,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,26,4.714045208,27,DRKR2SLB_qnp_bias.csv,0.000216435,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,27,12.76142375,28,DRKR2SLB_qnp_bias.csv,0.000490598,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,28,3.333333333,29,DRKR2SLB_qnp_bias.csv,0.000158719,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,29,12.76142375,30,DRKR2SLB_qnp_bias.csv,0.000288593,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,30,3.333333333,31,DRKR2SLB_qnp_bias.csv,0.000129861,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,31,11.38071187,32,DRKR2SLB_qnp_bias.csv,0.002828034,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,32,3.333333333,33,DRKR2SLB_qnp_bias.csv,4.33E-05,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,33,11.38071187,34,DRKR2SLB_qnp_bias.csv,0.000158661,0,channelZone1_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
3,34,6.666666666,35,DRKR2SLB_qnp_bias.csv,0.00020199,0,channelZone2_ratingTable1.csv,,,restored_PAR.csv,restored_degree.csv,restored_daily_detritus.csv
